Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Sholapur,Barshi,Wheat,Other,FAQ,1975,1975,1975,09-Feb-19
2,Sholapur,Barshi,Wheat,Other,FAQ,1600,2600,2000,06-Feb-19
3,Sholapur,Barshi,Wheat,Other,FAQ,2900,3000,2900,05-Feb-19
4,Sholapur,Barshi,Wheat,Other,FAQ,2000,2600,2000,02-Feb-19
5,Sholapur,Barshi,Wheat,Other,FAQ,2300,2300,2300,01-Feb-19
6,Sholapur,Barshi,Wheat,Other,FAQ,1975,1981,1975,31-Jan-19
7,Sholapur,Barshi,Wheat,Other,FAQ,1950,3040,2900,30-Jan-19
8,Sholapur,Barshi,Wheat,Other,FAQ,1975,1975,1975,29-Jan-19
9,Sholapur,Barshi,Wheat,Other,FAQ,2300,2300,2300,28-Jan-19
10,Sholapur,Barshi,Wheat,Other,FAQ,1975,3000,1975,25-Jan-19
11,Sholapur,Barshi,Wheat,Other,FAQ,1975,1975,1975,24-Jan-19
12,Sholapur,Barshi,Wheat,Other,FAQ,2650,2650,2650,23-Jan-19
13,Sholapur,Barshi,Wheat,Other,FAQ,1960,2400,1975,22-Jan-19
14,Sholapur,Barshi,Wheat,Other,FAQ,4400,4400,4400,21-Jan-19
15,Sholapur,Barshi,Wheat,Other,FAQ,1975,2300,1975,19-Jan-19
16,Sholapur,Barshi,Wheat,Other,FAQ,1500,2000,1961,16-Jan-19
17,Sholapur,Barshi,Wheat,Other,FAQ,2400,2400,2400,12-Jan-19
18,Sholapur,Barshi,Wheat,Other,FAQ,1950,2800,1950,10-Jan-19
19,Sholapur,Barshi,Wheat,Other,FAQ,2600,2600,2600,07-Jan-19
20,Sholapur,Barshi,Wheat,Other,FAQ,2800,2800,2800,03-Jan-19
21,Sholapur,Barshi,Wheat,Other,FAQ,1950,2600,1950,01-Jan-19
22,Sholapur,Barshi,Wheat,Other,FAQ,1950,1950,1950,31-Dec-18
23,Sholapur,Barshi,Wheat,Other,FAQ,1950,2800,1950,28-Dec-18
24,Sholapur,Barshi,Wheat,Other,FAQ,3500,3500,3500,26-Dec-18
25,Sholapur,Barshi,Wheat,Other,FAQ,1925,1950,1925,22-Dec-18
26,Sholapur,Barshi,Wheat,Other,FAQ,3000,3000,3000,21-Dec-18
27,Sholapur,Barshi,Wheat,Other,FAQ,1550,1550,1550,17-Dec-18
28,Sholapur,Barshi,Wheat,Other,FAQ,1900,1900,1900,15-Dec-18
29,Sholapur,Barshi,Wheat,Other,FAQ,1950,2300,1950,13-Dec-18
30,Sholapur,Barshi,Wheat,Other,FAQ,1950,1950,1950,12-Dec-18
31,Sholapur,Barshi,Wheat,Other,FAQ,1900,1925,1900,10-Dec-18
32,Sholapur,Barshi,Wheat,Other,FAQ,1900,1925,1900,08-Dec-18
33,Sholapur,Barshi,Wheat,Other,FAQ,2050,2050,2050,04-Dec-18
34,Sholapur,Barshi,Wheat,Other,FAQ,2900,2900,2900,03-Dec-18
35,Sholapur,Barshi,Wheat,Other,FAQ,1911,1925,1911,01-Dec-18
36,Sholapur,Barshi,Wheat,Other,FAQ,2950,2950,2950,29-Nov-18
37,Sholapur,Barshi,Wheat,Other,FAQ,1911,1925,1911,28-Nov-18
38,Sholapur,Barshi,Wheat,Other,FAQ,1900,1911,1900,26-Nov-18
39,Sholapur,Barshi,Wheat,Other,FAQ,1900,1925,1900,24-Nov-18
40,Sholapur,Barshi,Wheat,Other,FAQ,1900,2300,1911,22-Nov-18
41,Sholapur,Barshi,Wheat,Other,FAQ,1931,1931,1931,20-Nov-18
42,Sholapur,Barshi,Wheat,Other,FAQ,1875,3000,1921,17-Nov-18
43,Sholapur,Barshi,Wheat,Other,FAQ,1850,1850,1850,14-Nov-18
44,Sholapur,Barshi,Wheat,Other,FAQ,1900,1911,1900,12-Nov-18
45,Sholapur,Barshi,Wheat,Other,FAQ,1900,1900,1900,10-Nov-18
46,Sholapur,Barshi,Wheat,Other,FAQ,2700,3100,2700,08-Nov-18
47,Sholapur,Barshi,Wheat,Other,FAQ,2450,2450,2450,02-Nov-18
48,Sholapur,Barshi,Wheat,Other,FAQ,2100,2100,2100,01-Nov-18
49,Sholapur,Barshi,Wheat,Other,FAQ,1500,3254,2900,31-Oct-18
50,Sholapur,Barshi,Wheat,Other,FAQ,2300,2300,2300,29-Oct-18
51,Sholapur,Barshi,Wheat,Other,FAQ,2600,2600,2600,26-Oct-18
52,Sholapur,Barshi,Wheat,Other,FAQ,1881,1881,1881,23-Oct-18
53,Sholapur,Barshi,Wheat,Other,FAQ,2100,2100,2100,19-Oct-18
54,Sholapur,Barshi,Wheat,Other,FAQ,2311,2550,2375,18-Oct-18
55,Sholapur,Barshi,Wheat,Other,FAQ,2200,2200,2200,11-Oct-18
56,Sholapur,Barshi,Wheat,Other,FAQ,1850,2252,1850,10-Oct-18
57,Sholapur,Barshi,Wheat,Other,FAQ,1900,1900,1900,08-Oct-18
58,Sholapur,Barshi,Wheat,Other,FAQ,1850,2000,1850,27-Sep-18
59,Sholapur,Barshi,Wheat,Other,FAQ,1850,2200,1850,24-Sep-18
60,Sholapur,Barshi,Wheat,Other,FAQ,2301,2500,2301,22-Sep-18
61,Sholapur,Barshi,Wheat,Other,FAQ,1850,2100,2050,21-Sep-18
62,Sholapur,Barshi,Wheat,Other,FAQ,1800,2700,2200,19-Sep-18
63,Sholapur,Barshi,Wheat,Other,FAQ,1900,1900,1900,18-Apr-18
64,Sholapur,Barshi,Wheat,Other,FAQ,1900,2400,1900,17-Apr-18
65,Sholapur,Barshi,Wheat,Other,FAQ,1551,2300,1800,13-Apr-18
66,Sholapur,Barshi,Wheat,Other,FAQ,1600,2000,1600,12-Apr-18
67,Sholapur,Barshi,Wheat,Other,FAQ,1651,2410,1651,11-Apr-18
68,Sholapur,Barshi,Wheat,Other,FAQ,1550,2000,1550,10-Apr-18
69,Sholapur,Barshi,Wheat,Other,FAQ,1540,1825,1600,07-Apr-18
70,Sholapur,Barshi,Wheat,Other,FAQ,1600,2325,1900,06-Apr-18
71,Sholapur,Barshi,Wheat,Other,FAQ,1700,1900,1700,04-Apr-18
72,Sholapur,Barshi,Wheat,Other,FAQ,1800,1800,1800,03-Apr-18
73,Sholapur,Barshi,Wheat,Other,FAQ,1575,1950,1700,02-Apr-18
74,Sholapur,Barshi,Wheat,Other,FAQ,1600,1700,1600,20-Mar-18
75,Sholapur,Barshi,Wheat,Other,FAQ,1850,4000,2200,18-Mar-18
76,Sholapur,Barshi,Wheat,Other,FAQ,1800,1800,1800,13-Mar-18
77,Sholapur,Barshi,Wheat,Other,FAQ,1600,1975,1600,12-Mar-18
78,Sholapur,Barshi,Wheat,Other,FAQ,1550,1750,1550,10-Mar-18
79,Sholapur,Barshi,Wheat,Other,FAQ,1650,1650,1650,09-Mar-18
80,Sholapur,Barshi,Wheat,Other,FAQ,1500,2021,1700,07-Mar-18
81,Sholapur,Barshi,Wheat,Other,FAQ,1600,2000,1800,05-Mar-18
82,Sholapur,Barshi,Wheat,Bansi,FAQ,1700,2000,1800,01-Mar-18
83,Sholapur,Barshi,Wheat,Other,FAQ,1500,3100,2250,28-Feb-18
84,Sholapur,Barshi,Wheat,Other,FAQ,1500,1800,1600,27-Feb-18
85,Sholapur,Barshi,Wheat,Other,FAQ,1950,1950,1950,26-Feb-18
86,Sholapur,Barshi,Wheat,Other,FAQ,1900,1900,1900,24-Feb-18
87,Sholapur,Barshi,Wheat,Other,FAQ,1500,1500,1500,23-Feb-18
88,Sholapur,Barshi,Wheat,Other,FAQ,1811,1850,1811,20-Feb-18
89,Sholapur,Barshi,Wheat,Other,FAQ,1700,2000,1700,17-Feb-18
90,Sholapur,Barshi,Wheat,Other,FAQ,1600,1725,1650,16-Feb-18
91,Sholapur,Barshi,Wheat,Other,FAQ,1511,1511,1511,14-Feb-18
92,Sholapur,Barshi,Wheat,Other,FAQ,1300,1525,1300,10-Feb-18
93,Sholapur,Barshi,Wheat,Other,FAQ,1550,1600,1550,09-Feb-18
94,Sholapur,Barshi,Wheat,Other,FAQ,1600,1750,1600,08-Feb-18
95,Sholapur,Barshi,Wheat,Other,FAQ,1300,1800,1711,07-Feb-18
96,Sholapur,Barshi,Wheat,Other,FAQ,1350,1600,1350,05-Feb-18
97,Sholapur,Barshi,Wheat,Other,FAQ,1500,1700,1600,03-Feb-18
98,Sholapur,Barshi,Wheat,Other,FAQ,1100,1800,1700,02-Feb-18
99,Sholapur,Barshi,Wheat,Other,FAQ,1600,1800,1700,01-Feb-18
100,Sholapur,Barshi,Wheat,Other,FAQ,2600,2600,2600,26-Oct-18
101,Sholapur,Barshi,Wheat,Other,FAQ,1881,1881,1881,23-Oct-18
102,Sholapur,Barshi,Wheat,Other,FAQ,2100,2100,2100,19-Oct-18
103,Sholapur,Barshi,Wheat,Other,FAQ,2311,2550,2375,18-Oct-18
104,Sholapur,Barshi,Wheat,Other,FAQ,2200,2200,2200,11-Oct-18
105,Sholapur,Barshi,Wheat,Other,FAQ,1850,2252,1850,10-Oct-18
106,Sholapur,Barshi,Wheat,Other,FAQ,1900,1900,1900,08-Oct-18
107,Sholapur,Barshi,Wheat,Other,FAQ,1850,2000,1850,27-Sep-18
108,Sholapur,Barshi,Wheat,Other,FAQ,1850,2200,1850,24-Sep-18
109,Sholapur,Barshi,Wheat,Other,FAQ,2301,2500,2301,22-Sep-18
110,Sholapur,Barshi,Wheat,Other,FAQ,1850,2100,2050,21-Sep-18
111,Sholapur,Barshi,Wheat,Other,FAQ,1800,2700,2200,19-Sep-18
112,Sholapur,Barshi,Wheat,Other,FAQ,1900,1900,1900,18-Apr-18
113,Sholapur,Barshi,Wheat,Other,FAQ,1900,2400,1900,17-Apr-18
114,Sholapur,Barshi,Wheat,Other,FAQ,1551,2300,1800,13-Apr-18
115,Sholapur,Barshi,Wheat,Other,FAQ,1600,2000,1600,12-Apr-18
116,Sholapur,Barshi,Wheat,Other,FAQ,1651,2410,1651,11-Apr-18
117,Sholapur,Barshi,Wheat,Other,FAQ,1550,2000,1550,10-Apr-18
118,Sholapur,Barshi,Wheat,Other,FAQ,1540,1825,1600,07-Apr-18
119,Sholapur,Barshi,Wheat,Other,FAQ,1600,2325,1900,06-Apr-18
120,Sholapur,Barshi,Wheat,Other,FAQ,1700,1900,1700,04-Apr-18
121,Sholapur,Barshi,Wheat,Other,FAQ,1800,1800,1800,03-Apr-18
122,Sholapur,Barshi,Wheat,Other,FAQ,1575,1950,1700,02-Apr-18
123,Sholapur,Barshi,Wheat,Other,FAQ,1600,1700,1600,20-Mar-18
124,Sholapur,Barshi,Wheat,Other,FAQ,1850,4000,2200,18-Mar-18
125,Sholapur,Barshi,Wheat,Other,FAQ,1800,1800,1800,13-Mar-18
126,Sholapur,Barshi,Wheat,Other,FAQ,1600,1975,1600,12-Mar-18
127,Sholapur,Barshi,Wheat,Other,FAQ,1550,1750,1550,10-Mar-18
128,Sholapur,Barshi,Wheat,Other,FAQ,1650,1650,1650,09-Mar-18
129,Sholapur,Barshi,Wheat,Other,FAQ,1500,2021,1700,07-Mar-18
130,Sholapur,Barshi,Wheat,Other,FAQ,1600,2000,1800,05-Mar-18
131,Sholapur,Barshi,Wheat,Bansi,FAQ,1700,2000,1800,01-Mar-18
132,Sholapur,Barshi,Wheat,Other,FAQ,1500,3100,2250,28-Feb-18
133,Sholapur,Barshi,Wheat,Other,FAQ,1500,1800,1600,27-Feb-18
134,Sholapur,Barshi,Wheat,Other,FAQ,1950,1950,1950,26-Feb-18
135,Sholapur,Barshi,Wheat,Other,FAQ,1900,1900,1900,24-Feb-18
136,Sholapur,Barshi,Wheat,Other,FAQ,1500,1500,1500,23-Feb-18
137,Sholapur,Barshi,Wheat,Other,FAQ,1811,1850,1811,20-Feb-18
138,Sholapur,Barshi,Wheat,Other,FAQ,1700,2000,1700,17-Feb-18
139,Sholapur,Barshi,Wheat,Other,FAQ,1600,1725,1650,16-Feb-18
140,Sholapur,Barshi,Wheat,Other,FAQ,1511,1511,1511,14-Feb-18
141,Sholapur,Barshi,Wheat,Other,FAQ,1300,1525,1300,10-Feb-18
142,Sholapur,Barshi,Wheat,Other,FAQ,1550,1600,1550,09-Feb-18
143,Sholapur,Barshi,Wheat,Other,FAQ,1600,1750,1600,08-Feb-18
144,Sholapur,Barshi,Wheat,Other,FAQ,1300,1800,1711,07-Feb-18
145,Sholapur,Barshi,Wheat,Other,FAQ,1350,1600,1350,05-Feb-18
146,Sholapur,Barshi,Wheat,Other,FAQ,1500,1700,1600,03-Feb-18
147,Sholapur,Barshi,Wheat,Other,FAQ,1100,1800,1700,02-Feb-18
148,Sholapur,Barshi,Wheat,Other,FAQ,1600,1800,1700,01-Feb-18
149,Sholapur,Akluj,Wheat,Other,FAQ,2061,2061,2061,16-Oct-18
150,Sholapur,Akluj,Wheat,Other,FAQ,2000,2000,2000,22-Sep-18
151,Sholapur,Akluj,Wheat,Other,FAQ,1750,1850,1800,29-Aug-18
152,Sholapur,Akluj,Wheat,Other,FAQ,2000,2000,2000,03-Aug-18
153,Sholapur,Akluj,Wheat,Other,FAQ,1800,1800,1800,01-Aug-18
154,Sholapur,Akluj,Wheat,Other,FAQ,2000,2000,2000,31-Jul-18
155,Sholapur,Akluj,Wheat,Other,FAQ,1750,1750,1750,30-Jul-18
156,Sholapur,Akluj,Wheat,Other,FAQ,1450,2000,1850,27-Jul-18
157,Sholapur,Akluj,Wheat,Other,FAQ,1650,1750,1650,04-Jul-18
158,Sholapur,Akluj,Wheat,Other,FAQ,1700,1700,1700,05-May-18
159,Sholapur,Akluj,Wheat,Other,FAQ,1900,1900,1900,04-May-18
160,Sholapur,Akluj,Wheat,Other,FAQ,1600,1650,1611,07-Apr-18
161,Sholapur,Akluj,Wheat,Other,FAQ,1575,1650,1600,21-Mar-18
162,Sholapur,Akluj,Wheat,Other,FAQ,1550,1600,1600,15-Feb-18
163,Sholapur,Akluj,Wheat,Other,FAQ,1600,1600,1600,30-Jan-18
164,Sholapur,Akluj,Wheat,Other,FAQ,1500,1500,1500,19-Jan-18
165,Sholapur,Akluj,Wheat,Other,FAQ,1700,1700,1700,25-Dec-17
166,Sholapur,Akluj,Wheat,Other,FAQ,1701,1701,1701,16-Dec-17
167,Sholapur,Akluj,Wheat,Other,FAQ,1700,1700,1700,07-Dec-17
168,Sholapur,Akluj,Wheat,Other,FAQ,1500,1700,1575,29-Nov-17
169,Sholapur,Akluj,Wheat,Other,FAQ,1700,1800,1700,28-Nov-17
170,Sholapur,Akluj,Wheat,Other,FAQ,1500,1500,1500,27-Nov-17
171,Sholapur,Akluj,Wheat,Other,FAQ,1800,1800,1800,22-Nov-17
172,Sholapur,Akluj,Wheat,Other,FAQ,1800,2000,2000,18-Nov-17
173,Sholapur,Akluj,Wheat,Other,FAQ,1550,1550,1550,17-Nov-17
174,Sholapur,Akluj,Wheat,Other,FAQ,1900,1900,1900,07-Nov-17
175,Sholapur,Akluj,Wheat,Other,FAQ,1555,1555,1555,25-Oct-17
176,Sholapur,Akluj,Wheat,Other,FAQ,1652,1750,1652,23-Oct-17
177,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1725,1725,1725,23-Feb-19
178,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,2405,2405,2405,20-Feb-19
179,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1655,1655,1655,16-Feb-19
180,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,2600,2600,2600,19-Dec-18
181,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,2225,2225,2225,04-Dec-18
182,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,2200,2200,2200,20-Oct-18
183,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1785,1785,1785,15-Oct-18
184,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1805,1805,1805,15-Sep-18
185,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1800,1800,1800,14-Sep-18
186,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1420,2055,2055,11-Sep-18
187,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,2105,2105,2105,08-Sep-18
188,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,2000,2155,2005,07-Sep-18
189,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1515,1990,1820,23-Aug-18
190,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1500,1500,1500,13-Aug-18
191,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1700,1950,1750,07-Aug-18
192,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1700,1821,1821,04-Aug-18
193,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1940,1940,1940,03-Aug-18
194,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1711,1711,1711,30-Jul-18
195,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,2030,2275,2275,28-Jul-18
196,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1760,1760,1760,25-Jul-18
197,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1365,2205,2205,24-Jul-18
198,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1975,2100,2100,23-Jul-18
199,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1750,1750,1750,22-Jan-18
200,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1400,1400,1400,11-Jan-18
201,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1500,1500,1500,01-Jan-18
202,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1900,1900,1900,30-Dec-17
203,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1325,1800,1800,29-Dec-17
204,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1400,1840,1650,22-Dec-17
205,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1700,1845,1730,20-Dec-17
206,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1500,2300,1750,19-Dec-17
207,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1500,1700,1700,16-Dec-17
208,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1800,1800,1800,15-Dec-17
209,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1325,2000,2000,14-Dec-17
210,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1805,1900,1900,13-Dec-17
211,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1400,1800,1500,12-Dec-17
212,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1905,1905,1905,11-Dec-17
213,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1400,1600,1600,08-Dec-17
214,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1500,1750,1750,06-Dec-17
215,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1400,1850,1475,02-Dec-17
216,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1700,1855,1745,01-Dec-17
217,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1890,1890,1890,28-Nov-17
218,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1500,1600,1600,23-Nov-17
219,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1530,1900,1700,20-Nov-17
220,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1780,1780,1780,18-Nov-17
221,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1350,2000,1700,17-Nov-17
222,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1400,2000,1850,15-Nov-17
223,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1800,2005,2005,14-Nov-17
224,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1955,1955,1955,10-Nov-17
225,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,2035,2035,2035,09-Nov-17
226,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1350,2040,2040,08-Nov-17
227,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1850,1850,1850,07-Nov-17
228,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1900,1900,1900,06-Nov-17
229,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1405,1900,1840,03-Nov-17
230,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1600,1735,1735,31-Oct-17
231,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1850,1850,1850,30-Oct-17
232,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1850,1850,1850,27-Oct-17
233,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1285,1900,1575,26-Oct-17
234,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1625,1625,1625,25-Oct-17
235,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1350,1350,1350,24-Oct-17
236,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1310,1805,1670,23-Oct-17
237,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1400,1855,1500,20-Oct-17
238,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1400,1580,1580,14-Oct-17
239,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1400,1700,1700,13-Oct-17
240,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1400,1400,1400,12-Oct-17
241,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1400,2300,1650,11-Oct-17
242,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1600,1600,1600,10-Oct-17
243,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1720,1775,1775,09-Oct-17
244,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1400,1750,1750,07-Oct-17
245,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1300,1800,1550,05-Oct-17
246,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1475,1700,1635,03-Oct-17
247,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1200,1730,1730,29-Sep-17
248,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1340,1600,1600,28-Sep-17
249,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1400,1400,1400,26-Sep-17
250,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1700,1700,1700,25-Sep-17
251,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1650,1910,1910,23-Sep-17
252,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1400,1700,1700,20-Sep-17
253,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1700,1800,1800,19-Sep-17
254,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1600,1775,1775,08-Sep-17
255,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1590,1700,1700,30-Aug-17
256,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1250,1300,1300,29-Aug-17
257,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1400,1500,1500,28-Aug-17
258,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1350,1675,1405,26-Aug-17
259,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1945,1945,1945,24-Aug-17
260,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1285,1780,1690,21-Aug-17
261,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1855,1855,1855,16-Aug-17
262,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1850,1850,1850,14-Aug-17
263,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1370,1370,1370,08-Aug-17
264,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1200,1200,1200,07-Aug-17
265,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1285,1830,1700,03-Aug-17
266,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1400,1400,1400,29-Jul-17
267,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1400,1400,1400,28-Jul-17
268,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1350,1450,1450,26-Jul-17
269,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1785,1785,1785,25-Jul-17
270,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1925,1925,1925,24-Jul-17
271,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1750,1750,1750,22-Jul-17
272,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1630,1645,1645,21-Jul-17
273,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1400,1400,1400,20-Jul-17
274,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1480,1480,1480,18-Jul-17
275,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1400,1645,1645,15-Jul-17
276,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1500,1500,1500,14-Jul-17
277,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1450,1920,1700,13-Jul-17
278,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1485,1775,1700,12-Jul-17
279,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1630,1875,1875,11-Jul-17
280,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1805,1825,1825,06-Jul-17
281,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1600,1775,1775,04-Jul-17
282,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1500,1725,1700,03-Jul-17
283,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1915,1915,1915,01-Jul-17
284,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1350,1760,1415,30-Jun-17
285,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1410,1525,1525,29-Jun-17
286,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1355,1700,1450,27-Jun-17
287,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1900,1900,1900,23-Jun-17
288,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1445,1940,1800,21-Jun-17
289,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1200,1330,1330,19-Jun-17
290,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1705,1785,1785,17-Jun-17
291,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1750,1750,1750,16-Jun-17
292,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1350,1350,1350,14-Jun-17
293,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1605,1700,1700,13-Jun-17
294,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1605,1605,1605,12-Jun-17
295,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1605,1775,1700,08-Jun-17
296,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1440,1845,1845,07-Jun-17
297,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1405,2500,1925,06-Jun-17
298,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1950,1950,1950,03-Jun-17
299,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1590,1590,1590,02-Jun-17
300,Sholapur,Dudhani,Wheat,Maharashtra 2189,FAQ,1405,1905,1800,31-May-17
