Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),modalprice,pricedate
55,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1900,1900,1900,29-Jul-16
56,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1450,1675,1600,26-Jul-16
57,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1751,1751,1751,23-Jul-16
58,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1650,1750,1700,22-Jul-16
59,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1750,1750,1750,21-Jul-16
60,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1950,2000,1975,7-Jul-16
61,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1900,1900,1900,2-Jul-16
62,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1600,1600,1600,30-Jun-16
63,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1800,1900,1900,28-Jun-16
64,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,2000,2000,2000,24-Jun-16
65,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1850,1850,1850,23-Jun-16
66,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1900,1900,1900,20-Jun-16
67,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1800,1800,1800,18-Jun-16
68,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1900,1900,1900,16-Jun-16
69,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1675,1800,1800,14-Jun-16
70,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1700,1700,1700,13-Jun-16
71,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1750,1750,1750,1-Jun-16
72,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1900,1900,1900,28-May-16
73,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1900,1900,1900,2-May-16
74,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1900,1900,1900,28-Apr-16
75,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1700,1700,1700,27-Apr-16
76,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1600,1600,1600,20-Apr-16
77,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1700,1700,1700,6-Apr-16
78,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1700,1700,1700,23-Mar-16
79,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1600,1600,1600,15-Mar-16
80,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1500,1625,1550,10-Mar-16
81,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1400,1400,1400,3-Mar-16
82,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1600,1600,1600,2-Mar-16
83,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1600,1600,1600,27-Feb-16
84,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1611,1611,1611,25-Feb-16
85,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1550,1550,1550,24-Feb-16
86,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1550,1550,1550,6-Feb-16
87,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1600,1600,1600,29-Jan-16
88,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1550,1550,1550,28-Jan-16
89,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1500,1500,1500,27-Jan-16
90,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1500,1500,1500,25-Jan-16
91,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1600,1600,1600,23-Jan-16
92,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1900,1900,1900,22-Jan-16
93,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1550,1550,1550,21-Jan-16
